serial number,Company Name,Segment,Contact Number,email id
,Pharacy Companies,,,
1,Ace Technopack LLP,Pharmacy/Life Sciences,7942556199,ace@acetechnologiesgroup.com. 
3,Adept Tableting,Pharmacy/Life Sciences,9346619575,info@adeptexport.com
4,Ajni Industries Pvt. Ltd.,Pharmacy/Life Sciences,2652774855,dipusharma@ajni.co.in
5,Allyone Environmental Technologies India Pvt. Ltd.,Pharmacy/Life Sciences,2551230061,enquiry@allone.co.in
6,Ami Polymer Pvt. Ltd.,Pharmacy/Life Sciences,9824228881,overseas@amipolymer.com
7,Anchormen Equipments Pvt. Ltd.,Pharmacy/Life Sciences,9978600978,info.india@ansell.com
8,Ansell India Protective Products Pvt. Ltd.,Pharmacy/Life Sciences,8655852955,grace.lu@ansell.com
9,ART Instruments INC.,Pharmacy/Life Sciences,9974259469,info@art-instruments.com
10,Aryan Engineers,Pharmacy/Life Sciences,9879111970,info@aryanengineers.in
11,Aureole Pharma Pvt. Ltd.,Pharmacy/Life Sciences,8624858551,enquiry@aureolepharmatech.com
12,Avant Garde Cleanroom & Engg. Solutions Pvt. Ltd.,Pharmacy/Life Sciences,1145508664,marketing@acespl.in
13,Breath Air System LLP,Pharmacy/Life Sciences,9265541531,breathair18@gmail.com
14,CAEPL Clean Air Engineers Pvt. Ltd.,Pharmacy/Life Sciences,7940055868,info@cleanairengineer.com
15,Captech Systems,Pharmacy/Life Sciences,9820962795,info@captech.in
16,Care Equipment,Pharmacy/Life Sciences,9426757975,sales@careair.in
17,Casilica Dehumidifiers,Pharmacy/Life Sciences,9650375541,info@casilica.com
18,CPI Technology Pvt. Ltd.,Pharmacy/Life Sciences,7575808268,info@carepg.com
19,DDE Bioengineering Pvt. Ltd.,Pharmacy/Life Sciences,(20)67151010,sanjay.dubey@ddentp.com
20,Deep Pneumatics Pvt. Ltd.,Pharmacy/Life Sciences,6354913760,info@deeppneumatics.in
21,Dynamic Fans Marketing Pvt. Ltd.,Pharmacy/Life Sciences,2266975447,vinod@dynamicmarketing.in
22,E+E Elektronik India Pvt. Ltd.,Pharmacy/Life Sciences,9904405400,info.in@epluse.com
23,EIE Instruments Pvt. Ltd.,Pharmacy/Life Sciences,7935208301,sanjay@eieinstruments.com
24,Electrolab India Pvt. Ltd.,Pharmacy/Life Sciences,2240413131,sales@electrolabgroup.com
25,Fabtech Technologies Cleanroom Limited,Pharmacy/Life Sciences,99608969824,quote@fabtechnologies.com
26,Fluidpack,Pharmacy/Life Sciences,9825033305,enqury@accuratabletpress.com
27,G. T. Metals & Tubes,Pharmacy/Life Sciences,9979699955,info@gtfittings.in
28,GMP Technical Solutions Pvt. Ltd.,Pharmacy/Life Sciences,8045133452,enquiry@gmptech.net
29,Greentech Water System,Pharmacy/Life Sciences,9724066338,water@greentechsystem.com
30,Hariom Pharma Equipments,Pharmacy/Life Sciences,9821053265,info@hariompharma.in
31,Helios Concrew Pvt. Ltd. / Blister King,Pharmacy/Life Sciences,9825331801,heliosconcrew@gmail.com
32,Impact & Solutions,Pharmacy/Life Sciences,98677 24577,matin@impactpvt.in
33,Impact Engineers,Pharmacy/Life Sciences,9699824514,pratik@impactengineers.in
34,Innovative Engineers HVAC Pvt. Ltd.,Pharmacy/Life Sciences,7201000893,info@innovativeengineershvac.com
35,Integrated Cleanroom Technologies Pvt. Ltd.,Pharmacy/Life Sciences,8897845554,info@icleantech.com
36,JPC Air Handler (India) LLP,Pharmacy/Life Sciences,8618 31161,contact@jpcair.com
37,Kesar Control Systems,Pharmacy/Life Sciences,7949238192,sales@kesarcontrol.com
38,Kesar Testing Service LLP,Pharmacy/Life Sciences,79 4030 0727,calibration.kesar@gmail.com
39,Kothari Pharma Machineries LLP,Pharmacy/Life Sciences,9653384812,kotharikpm@gmail.com
40,Labtronik,Pharmacy/Life Sciences,79-2658 8565,contact@labtronik.com
41,Leistung Engineering Pvt. Ltd.,Pharmacy/Life Sciences,7925733411,info@leistung.in
42,Luova Technologies Pvt. Ltd.,Pharmacy/Life Sciences,(2717)417566,info@luova.in
43,Map Industries,Pharmacy/Life Sciences,9687341157,mapindustries94@gmail.com
44,Mark Vi Trac Systems,Pharmacy/Life Sciences,9820509630,info@markvitrac.com
45,Mascon Techneeds,Pharmacy/Life Sciences,9967717084,info@micsontechno.com
46,Material Intelligence Lab (Porelab Scientific Pvt. Ltd.),Pharmacy/Life Sciences,8140408833,swastidey1@gmail.com
47,Mechzeal Interphasing Pvt. Ltd.,Pharmacy/Life Sciences,8980029682,info@mechzeal.co.in
48,N.K.P. Pharma Pvt. Ltd.,Pharmacy/Life Sciences,2717639888,info@nkppharma.com
49,Navsarjan Turnkey Solutions,Pharmacy/Life Sciences,9879325171,info@navsarjants.com
50,Neocorp Engineering Pvt. Ltd.,Pharmacy/Life Sciences,7940194030,info@neocorp.in
51,Newtronic Lifecare Equipment Pvt. Ltd.,Pharmacy/Life Sciences,82918 21223,sales@newtronic.in
52,Nihaar Equipment Pvt. Ltd.,Pharmacy/Life Sciences,22 2850 2878,info@nihaarequipment.com
53,Novasix Technologies Pvt. Ltd.,Pharmacy/Life Sciences,123 456 7890,info@example.com
54,NPM Machinery Pvt. Ltd.,Pharmacy/Life Sciences,95120 07086,sales@npmmachinery.com
55,Patel Scientific Instruments Pvt. Ltd.,Pharmacy/Life Sciences,97234 44495,info@psiplindia.com
56,Pharmintech Turnkey Solutions Pvt. Ltd.,Pharmacy/Life Sciences,22 4971 9996,sales@pharmintech.net
57,PMEA Solar Tech Solutions Limited,Pharmacy/Life Sciences,81081 14949,info@pmealtd.com
58,Prachi International Lights,Pharmacy/Life Sciences,99539 94180,info@prachiinternational.com
59,Promark Air Filter Industries,Pharmacy/Life Sciences,80454 76011,info@promarkfilter.com
60,Protech Air Systems Pvt. Ltd.,Pharmacy/Life Sciences,98256 34508,response@protechairsystems.com
61,QxP Pharma Project & GMP Services Pvt. Ltd.,Pharmacy/Life Sciences,99798 42207,info@qxpts.com
62,R. B. Panchal Fabricators,Pharmacy/Life Sciences,94267 57975,sales@rbpanchal.com
63,Rapid Services,Pharmacy/Life Sciences,,
64,Ravyas Pharma Consultancy (A Company of Ravyas Group),Pharmacy/Life Sciences,94088 03137,ravyasconsultancy@yahoo.com
65,Rehoboth Enviro Systems Pvt. Ltd.,Pharmacy/Life Sciences,98115 99922,sales@rbdeh.com
66,Russell Finex Sieves & Filters Pvt. Ltd.,Pharmacy/Life Sciences,88005 58656,enquiriesrfsf@russellfinex.com
67,Safex Machineries,Pharmacy/Life Sciences,80458 14460,info@safexmachineries.com
68,Saimach Pharmatech Pvt. Ltd.,Pharmacy/Life Sciences,98250 79430,sales@saimach.com
69,Samarika Pharma Solutions LLP,Pharmacy/Life Sciences,75672 19422,info@samarika.com
70,Shree Vishwakarma Alu Projects Pr,Pharmacy/Life Sciences,98795 45216,info@vishwakarmadoor.com
71,SSPM Systems & Engineers Pvt. Ltd.,Pharmacy/Life Sciences,72650 88833,info@sspm.com
72,Sterinox Systems,Pharmacy/Life Sciences,22-28940600 / 700,info@sterinoxsystems.com
73,Sun Teknovation Pvt. Ltd.,Pharmacy/Life Sciences,98982 45695,connect@sunteknovation.com
74,Suresh Enterprises,Pharmacy/Life Sciences,97277 38001,info@sevitsil.com
75,Swastik Enterprise,Pharmacy/Life Sciences,90336 10133,info@swastik-enterprise.in
76,Synergy Thrislington,Pharmacy/Life Sciences,9805508770,sales@synergythrislington.com
77,Tanushree Air Techniques Pvt. Ltd.,Pharmacy/Life Sciences,9879003546,info@airtechniques.in
78,Thermolab Scientific Equipments Pvt. Ltd.,Pharmacy/Life Sciences,9820088373,enquiries@pharmacompass.com
79,Tradestone Projects Pvt. Ltd.,Pharmacy/Life Sciences,22 2871 4444,info@tradestoneprojects.com
80,TSA Process Equipments Pvt. Ltd.,Pharmacy/Life Sciences,22 69607000,sales@tsapepl.com
81,Vishwakarma Engineering,Pharmacy/Life Sciences,98253 58024,vishwakarmaengineers06@gmail.com
82,Watermass Systems Pvt. Ltd.,Pharmacy/Life Sciences,84258 40212,purchase@watermass.in
83,Wiremetal Industries,Pharmacy/Life Sciences,22 2880 9636,quote@wiremetal.in
84,AB Lab Solutions,Pharmacy/Life Sciences,7016881170,ablabsolutions9@gmail.com
85,Addagrip India Pvt. Ltd. (Duraklean),Pharmacy/Life Sciences,73 9788 9788,info@duraklean.com
86,Adroitix Engineering LLP,Pharmacy/Life Sciences,9870448882,sales@adroitix.com
,Mechanical Companies,,,
88,Aerolam Insulations Pvt. Ltd.,Mechanical/Production,820 080 0100,info@aerolam.com
89,Agmehra Pvt. Ltd.,Mechanical/Production,,info@agmeindia.com
90,Airfil Filtech Pvt. Ltd.,Mechanical/Production,,airfiltechnology@gmail.com
91,AirPac Cleantech Pvt. Ltd.,Mechanical/Production,22 26836452,sales@airpaccleantech.com
92,Alfa Innotech,Mechanical/Production,,
93,Alicat Scientific India Pvt. Ltd.,Mechanical/Production,22-46081434,info@alicat.com
94,Anchor Mark Pvt. Ltd.,Mechanical/Production,22-40972000,marketing2@anchormark.com
95,Anish Pharma Equip Pvt. Ltd.,Mechanical/Production,,sales@anishpharma.com
96,Aqua Filsep INC.,Mechanical/Production,,info@aquafilsep.com
97,Armacell India Pvt. Ltd.,Mechanical/Production,99704 69023,Shadab.Ahmed@Armacell.com
98,Aspire India Innotech LLP,Mechanical/Production,84460 41696,admin@aspireindia.in
99,ASV Pharma Tech Pvt. Ltd.,Mechanical/Production,8108105566,info@asvpharmatech.com
100,Atlanto Enterprises LLP,Mechanical/Production,9372080617,sales@aumhitzetech.com
101,Aum Hitze Tech,Mechanical/Production,85111 20446,sales@aumhitzetech.com.
102,Ayu Mech-Mind,Mechanical/Production,,info@mech-mind
103,Baramati Agro Limited,Mechanical/Production,020-67482800,cs@baramatiagro.com
104,Baroda Polyform Pvt. Ltd.,Mechanical/Production,7043354300,admin@barodapolyform.com
105,Base Engineering,Mechanical/Production,80-23464645,mahesh.base@gmail.com
106,Bhuvan Engineering,Mechanical/Production,,info@bhuvanengineering.com
107,Blasttop Industries,Mechanical/Production,9871410959,info@blasttop.com
108,Brite Proofings Pvt. Ltd.,Mechanical/Production,22-40433433,briteahm@brppl.co.in
109,Citizen Industries Pvt. Ltd.,Mechanical/Production,79 40013100,sales@citizenindustries.in
110,Citizen Industries,Mechanical/Production,79 2644 5155,labsales@citizenindia.com
111,Cronax Industries,Mechanical/Production,74283 14888,info@cronax.co.in
112,Ctenophora Advanced Lighting Solutions Pvt. Ltd.,Mechanical/Production,76006 67613,info@ctenophoraals.com
113,Danin HVAC Solutions,Mechanical/Production,89052 49536,
114,Dekure Instruments,Mechanical/Production,73839 45966,sales@dekureinstruments.com
115,Dindayal Transport Company,Mechanical/Production,93161 06451,dindayallogistic@gmail.com
116,Divine Machine Tools Pvt. Ltd.,Mechanical/Production,78787 54780,contact@divinegroup.com
117,E3 Tech Systems And Services LLP,Mechanical/Production,96185 95672,info@e3techsys.com
118,Edge Solutions,Mechanical/Production,99722 58090,info@edgesolutionsindia.com
119,Edgetech Air Systems Pvt. Ltd.,Mechanical/Production,9820270187,mailto:info@edgetech.co.in
120,Ekaggo Airtech Pvt. Ltd.,Mechanical/Production,98986 59696,info@ekaggoair.com
121,Enviro Technologies,Mechanical/Production,70390 47042,presales@enviroworld.in
122,Esterill Process Solutions Pvt. Ltd.,Mechanical/Production,2245222115,contact@esteril.in
123,Felix Solutions,Mechanical/Production,9870610432,info@felixsolutions.in
124,FSP Technologies,Mechanical/Production,,
125,Gayatri Control And Automation Pvt. Ltd.,Mechanical/Production,7925840686,info@gayatricontrol.com
